y,fem_grey1,fem_green1,fem_green2,fem_orange1,fem_orange2,male_grey2,male_green2
0,333,0,0,0,0,17,0
1,333,0,0,0,0,18,0
2,328,0,0,0,0,17,0
3,337,0,0,0,0,17,0
4,331,0,0,0,0,18,0
5,341,0,0,0,0,17,0
6,339,0,0,0,0,19,0
7,333,0,0,0,0,19,0
8,338,0,0,0,0,18,0
9,347,0,0,0,0,19,0
10,348,0,0,0,0,18,0
11,354,0,0,0,0,19,0
12,362,0,0,0,0,21,0
13,379,0,0,0,0,20,0
14,379,0,0,0,0,22,0
15,389,0,0,0,0,20,0
16,401,0,0,0,0,22,0
17,394,0,0,0,0,23,0
18,385,0,0,0,0,23,0
19,395,0,0,0,0,24,0
20,416,0,0,0,0,21,0
21,0,427,0,0,0,0,19
22,0,447,0,0,0,0,21
23,0,494,0,0,0,0,25
24,0,493,0,0,0,0,23
25,0,508,0,0,0,0,26
26,0,500,0,0,0,0,26
27,0,496,0,0,0,0,22
28,0,481,0,0,0,0,20
29,0,482,0,0,0,0,19
30,0,487,0,0,0,0,16
31,0,500,0,0,0,0,15
32,0,500,0,0,0,0,9
33,0,503,0,0,0,0,7
34,0,480,0,0,0,0,7
35,0,474,0,0,0,0,8
36,0,471,0,0,0,0,8
37,0,465,0,0,0,0,4
38,0,451,0,0,0,0,7
39,0,459,0,0,0,0,4
40,0,464,0,0,0,0,4
41,0,504,0,0,0,0,7
42,0,555,0,0,0,0,10
43,0,577,0,0,0,0,10
44,0,619,0,0,0,0,15
45,0,649,0,0,0,0,16
46,0,668,0,0,0,0,16
47,0,687,0,0,0,0,18
48,0,688,0,0,0,0,21
49,0,703,0,0,0,0,19
50,0,699,0,0,0,0,17
51,0,679,0,0,0,0,12
52,0,672,0,0,0,0,7
53,0,632,0,0,0,0,5
54,0,633,0,0,0,0,4
55,0,598,0,0,0,0,2
56,0,585,1,0,0,0,0
57,0,566,5,0,0,0,0
58,0,545,12,0,0,0,0
59,0,529,22,0,0,0,0
60,0,509,26,0,0,0,0
61,0,506,28,0,0,0,0
62,0,495,28,0,0,0,0
63,0,492,30,0,0,0,0
64,0,475,28,0,0,0,0
65,0,0,0,433,25,0,0
66,0,0,0,403,28,0,0
67,0,0,0,348,28,0,0
68,0,0,0,300,33,0,0
69,0,0,0,399,43,0,0
70,0,0,0,402,45,0,0
71,0,0,0,385,47,0,0
72,0,0,0,458,68,0,0
73,0,0,0,471,81,0,0
74,0,0,0,452,89,0,0
75,0,0,0,410,88,0,0
76,0,0,0,369,91,0,0
77,0,0,0,342,97,0,0
78,0,0,0,314,101,0,0
79,0,0,0,276,100,0,0
80,0,0,0,208,86,0,0
81,0,0,0,192,92,0,0
82,0,0,0,180,99,0,0
83,0,0,0,172,109,0,0
84,0,0,0,151,107,0,0
85,0,0,0,133,106,0,0
86,0,0,0,106,105,0,0
87,0,0,0,86,108,0,0
88,0,0,0,69,107,0,0
89,0,0,0,50,97,0,0
90,0,0,0,39,85,0,0
91,0,0,0,33,74,0,0
92,0,0,0,26,65,0,0
93,0,0,0,19,52,0,0
94,0,0,0,10,32,0,0
95,0,0,0,5,15,0,0
96,0,0,0,3,11,0,0
97,0,0,0,2,9,0,0
98,0,0,0,2,8,0,0
99,0,0,0,2,7,0,0
100,0,0,0,2,0,0,0
